"Name","TID","InfoTID","SWF","ExportName","ExportNameBase","ClearTimeSeconds","Width","Height","PassableSubtilesAtEdge","Passable","IsBuildable","ClearResource","ClearCost","LootResource","LootCount","ClearEffect","PickUpEffect","RespawnWeight","IsTombstone","TombGroup","LootMultiplierForVersion2","AppearancePeriodHours","MinRespawnTimeHours","SpawnObstacle","SpawnRadius","SpawnIntervalSeconds","SpawnCount","MaxSpawned","MaxLifetimeSpawns","RedMul","GreenMul","BlueMul","Jumpable","PassableWhenFrozen","Layer","LightsOn","VillageType","Village2RespawnCount","VariationCount","TallGrass","TallGrassSpawnPoint","SelectedExportName","CollectLootOnSelect","FadeTimeMS","THSpecificAsset"
"String","String","String","String","String","String","int","int","int","int","boolean","boolean","String","int","String","int","String","String","int","boolean","int","int","int","int","String","int","int","int","int","int","int","int","int","boolean","boolean","string","boolean","int","int","int","boolean","boolean","String","int","int","boolean"
"TombStone_CC","TID_OBSTACLE_TOMBSTONE","TID_OBSTACLE_TOMBSTONE","sc/buildings_cc.sc","tombstone_cc",,0,1,1,1,"true","false","Gold",0,"Elixir",20,"Clear Tombstone","Stone Pickup",0,"true",0,1,,,,,,,,,,,,,,,,,,,,,,,2000,
"Water Tile","TID_WATER","TID_RIVER","sc/buildings_cc.sc","cc_water",,10,1,1,0,"false","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"false","true","GROUND",,,,,,,,,2000,
"Water Tile 2","TID_WATER_2","TID_RIVER","sc/buildings_cc.sc","cc_water_2x2",,10,2,2,0,"false","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"false","true","GROUND",,,,,,,,,2000,
"Water Tile 3","TID_WATER_3","TID_RIVER","sc/buildings_cc.sc","cc_water_3x3",,10,3,3,0,"false","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"false","true","GROUND",,,,,,,,,2000,
"River Bridge 1","TID_RIVER_BRIDGE","TID_RIVER","sc/buildings_cc.sc","cc_river_straight1_1_bridge",,10,1,1,1,"true","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"true","true","BOTTOM",,,,,,,,,2000,
"River Bridge 2","TID_RIVER_BRIDGE","TID_RIVER","sc/buildings_cc.sc","cc_river_straight1_2_bridge",,10,1,1,1,"true","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"true","true","BOTTOM",,,,,,,,,2000,
"River Bridge 1 Bottom","TID_RIVER_BRIDGE","TID_RIVER","sc/buildings_cc.sc","cc_river_straight1_1_bridge_bottom",,10,1,1,1,"true","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"true","true","BOTTOM",,,,,,,,,2000,
"River Bridge 1 Middle","TID_RIVER_BRIDGE","TID_RIVER","sc/buildings_cc.sc","cc_river_straight1_1_bridge_middle",,10,1,1,1,"true","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"true","true","BOTTOM",,,,,,,,,2000,
"River Bridge 1 Top","TID_RIVER_BRIDGE","TID_RIVER","sc/buildings_cc.sc","cc_river_straight1_1_bridge_double",,10,1,1,1,"true","false","Elixir",2000000,"Diamonds",1,,,20,"false",,,,,,,,,,,,,,"true","true","BOTTOM",,,,,,,,,2000,
