"TID","IT"
"string","string"
"TID_LANGUAGE_LOCALIZED_NAME","Italiano"
"TID_BUILDING_HOUSE","Casa"
"TID_BUILDING_HOUSING","Accampamento"
"TID_BUILDING_TOWN_HALL","Municipio"
"TID_BUILDING_ELIXIR_PUMP","Estrattore di elisir"
"TID_BUILDING_ELIXIR_STORAGE","Deposito di elisir"
"TID_BUILDING_GOLD_MINE","Miniera d'oro"
"TID_BUILDING_GOLD_STORAGE","Deposito d'oro"
"TID_BUILDING_BARRACK","Caserma"
"TID_BUILDING_CANNON","Cannone"
"TID_BUILDING_TESLA_TOWER","Tesla occulta"
"TID_BUILDING_WALL","Muro"
"TID_BUILDING_FENCE","Staccionata"
"TID_BUILDING_WIZARD_TOWER","Torre dello stregone"
"TID_BUILDING_AIR_DEFENSE","Difesa aerea"
"TID_BUILDING_MORTAR","Mortaio"
"TID_WORKER_BUILDING","Capanna del costruttore"
"TID_BUILDING_LABORATORY","Laboratorio"
"TID_TRAP_BOMB","Trappola bomba"
"TID_TRAP_EJECT","Trappola a scatto"
"TID_TRAP_TIMETRAP","Trappola a tempo"
"TID_BUTTON_SPEEDUP","Completa ora"
"TID_BUTTON_UPGRADE","Migliora"
"TID_BUTTON_ATTACK","Attacco!"
"TID_BUTTON_SHOP","Negozio"
"TID_BUTTON_SELL","Vendi"
"TID_BUTTON_CANCEL","Annulla"
"TID_BUTTON_TRAIN","Addestra truppe"
"TID_BUTTON_COLLECT","Prendi"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_CLEAR","Rimuovi"
"TID_BUTTON_HOME","Torna al villaggio"
"TID_BUTTON_ACCEPT","Accetta"
"TID_BUTTON_REJECT","Rifiuta"
"TID_BUTTON_SEND","Invia"
"TID_BUTTON_JOIN","Unisciti"
"TID_TAB_GLOBAL_CHAT","Globale"
"TID_TAB_ALLIANCE_CHAT","Clan"
"TID_OBSTACLE_TREE","Albero"
"TID_OBSTACLE_STONE","Pietra"
"TID_OBSTACLE_BUSH","Cespuglio"
"TID_OBSTACLE_TRUNK","Tronco"
"TID_OBSTACLE_MUSHROOM","Fungo"
"TID_DECORATION_BARBARIAN_STATUE","Statua imponente"
"TID_DECORATION_TORCH","Torcia"
"TID_DECORATION_WHITE_FLAG","Bandiera bianca"
"TID_DECORATION_SKULL_FLAG","Bandiera pirata"
"TID_DECORATION_FLOWERBOX1","Aiuola di fiordalisi"
"TID_DECORATION_FLOWERBOX2","Aiuola di girasoli"
"TID_DECORATION_WINDMETER","Segnavento"
"TID_DECORATION_DOWNARROW_FLAG","Bandiera di raduno"
"TID_DECORATION_UPARROW_FLAG","Bandiera di posizione"
"TID_DECORATION_SKULL_ALTAR","Teschio antico"
"TID_DECORATION_NATIONAL_FLAG","Bandiera nazionale"
"TID_TIME_DAYS","g"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","La battaglia termina tra:"
"TID_POPUP_HEADER_WARNING","Attenzione!"
"TID_POPUP_UNDER_ATTACK","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente."
"TID_POPUP_TRY_AGAIN","Tempo restante stimato:"
"TID_BUTTON_OKAY","OK"
"TID_POPUP_TRAIN_TITLE","Addestra truppe <limit>"
